AccountId,WinsAgainst,LossAgainst
4294967295,1228,1106
71058492,1,0
90137948,1,0
110266004,0,1
96490950,0,2
118064910,0,1
83440894,0,1
33030640,1,0
100726281,1,0
109586054,1,0
81433812,0,1
113469137,0,1
3985454,0,1
66757609,0,1
12292268,0,1
30130652,1,0
48517887,1,0
124094331,0,1
57123705,0,1
42459800,0,1
58897315,1,0
18772284,0,1
133646293,0,1
17678639,0,1
118667057,1,0
123443071,0,1
74036301,0,1
131659760,1,1
39760502,0,1
65508297,1,0
76010664,0,1
28242305,1,0
75134026,1,0
15995079,0,1
84833597,0,1
93611424,1,0
51024702,1,0
126347186,1,0
87147783,0,1
16421058,1,0
65692626,1,0
41878086,0,1
113862387,0,1
108529222,1,0
124573522,1,0
71353348,0,1
81237138,1,0
123160351,1,0
95925759,0,1
119211857,0,1
113833604,1,0
54608653,1,1
35361365,1,0
88814853,1,0
79602929,1,1
96818570,1,0
3891306,0,1
142727376,1,0
111417078,1,0
36713061,1,0
54035311,0,1
2695280,1,0
36737642,1,0
30097808,0,1
16728226,0,1
12816540,0,1
155838760,1,0
114689719,1,0
148945025,0,1
101168742,1,0
87491926,1,0
70325333,0,1
113936047,0,1
71144538,0,1
70526047,0,1
125638416,1,0
143268068,1,0
131954611,1,0
124802847,0,1
101779070,0,1
135555175,0,1
13000882,0,1
61354962,1,0
56750874,1,0
122300209,1,0
71259204,1,0
41906940,0,1
65065828,1,0
133678960,0,1
68424861,1,0
86902183,1,0
91477496,1,0
110896663,1,0
2822331,1,0
146507819,1,0
95384889,1,0
53461943,0,1
39113422,0,1
56132548,0,1
165570883,1,0
35275448,1,0
57824214,1,0
83489885,1,0
58929958,1,0
119662473,1,0
55063521,1,0
3535006,0,1
158247362,0,1
114058849,0,1
87602582,0,1
115652181,0,1
19665310,1,0
79918193,0,1
22643181,0,1
71550198,0,1
83637316,0,1
41681604,0,1
130512767,0,1
104527491,0,1
115205735,1,0
126850868,0,1
108615367,1,0
86107619,0,1
87299574,0,1
85276119,1,0
46301697,0,1
42254925,1,0
